age_Ma,Atlantic,Pacific,Southern
12.2,0.733239496,0.514553852,0.834261837
12.3,0.744490976,0.522345079,0.826057059
12.4,0.752836733,0.537237865,0.833113385
12.5,0.763740958,0.559106882,0.818189646
12.6,0.7663973,0.582393696,0.817395468
12.7,0.790326647,0.614650053,0.800577387
12.8,0.798598686,0.654761053,0.793652949
12.9,0.799647112,0.692195039,0.805392689
13,0.81526016,0.73486481,0.825654959
13.1,0.8353909,0.783274675,0.858315447
13.2,0.864154395,0.830855633,0.902135462
13.3,0.890040288,0.876454935,0.949390234
13.4,0.923860662,0.91598332,0.996010379
13.5,0.966881662,0.949673673,1.034078123
13.6,1.00483673,0.974665245,1.071339066
13.7,1.039391271,0.991398052,1.099726316
13.8,1.060939876,1.003152324,1.118678914
13.9,1.078560962,1.008686955,1.138547036
14,1.094752853,1.008859251,1.151400302
14.1,1.100474922,1.004086037,1.155881939
14.2,1.093464804,1.001735822,1.164105
14.3,1.09990492,0.994536395,1.165141524
14.4,1.082640616,0.992184043,1.168592834
14.5,1.056118205,0.996301166,1.16790508
14.6,1.039547389,1.004064638,1.167755756
14.7,1.032698819,1.012818417,1.164643688
14.8,1.023487798,1.025515831,1.162136385
14.9,1.030697126,1.042445,1.163138042
15,1.030836327,1.059275908,1.166226747
15.1,1.032378297,1.069758456,1.169822256
15.2,1.038190672,1.077605343,1.178425258
15.3,1.039184417,1.084549596,1.187787025
15.4,1.042693821,1.094460014,1.19464792
15.5,1.095712695,1.100398788,1.193882538
15.6,1.109068346,1.102418352,1.194527046
15.7,1.11547876,1.103012451,1.196757647
15.8,1.125758228,1.102238248,1.194659451
15.9,1.131817244,1.096386433,1.18079297
16,1.134151961,1.087085199,1.165116528
16.1,1.137646922,1.077474771,1.150916802
16.2,1.133398507,1.056023358,1.130929944
16.3,1.126944345,1.036715484,1.11267554
16.4,1.121108597,1.015389113,1.08888449
16.5,1.11419457,0.986988603,1.056945028
16.6,1.100834811,0.93775778,1.020581043
16.7,1.088300297,0.896398127,0.992035528
16.8,1.056598396,0.851197942,0.96688385
16.9,1.040993672,0.798650638,0.944555426
17,1.021731705,0.726556904,0.922880979
17.1,0.996248647,0.669424703,0.900621667
17.2,0.965229466,0.609216096,0.875399423
17.3,0.932211897,0.549804556,0.85113781
17.4,0.894568083,0.48397594,0.827765585
17.5,0.838830194,0.469421488,0.810075421
17.6,0.801054604,0.434021011,0.783779535
17.7,0.75471034,0.401458104,0.75592107
17.8,0.715323742,0.373134075,0.720948717
