,s_id_species,species,species_simple,B11,Mg24,Al27,Na23,Li7,Ba138,U238,Cd111,Sr88,Mn55
1421,Dan-C2_1_Nuttallides truempyi,Nuttallides truempyi,Nuttallides truempyi,82.7399310344482,1.38312783313644,72.86364244437694,2.603722069787674,7.369681916438053,2.4807996565509205,14.748747522686337,0.234084614016319,0.8994162006989693,140.691428301594
1422,Dan-C2_2_Nuttallides truempyi,Nuttallides truempyi,Nuttallides truempyi,84.43636874810102,1.2006142419226893,22.936546999952537,2.585014243272844,7.0779808449541886,2.1151431730546864,10.385427796043825,0.2256188309702756,0.9076113192602976,68.57366829754079
1423,Dan-C2_3_Nuttallides truempyi,Nuttallides truempyi,Nuttallides truempyi,81.40113737800687,1.2741337593809725,25.531031188880032,2.47809268274386,7.63902744269645,2.3633535506643857,11.640503267511738,0.2360883733704888,0.8949882248037222,84.45400416890558
1424,Dan-C2_4_Nuttallides truempyi,Nuttallides truempyi,Nuttallides truempyi,78.43007306945027,1.3471292508783417,59.629055487653815,2.533514968284124,7.481024356643073,1.674718674304463,13.695044440263748,0.2232028065476895,0.8847863021657976,75.57807604847453
1425,1262_2020_5_Nuttallides truempyi,Nuttallides truempyi,Nuttallides truempyi,84.02357060045544,1.2806601843338412,11.681915256708564,2.687573897404446,8.127398570508351,1.7382441835939153,10.88339526004691,0.1991657439670694,0.9314542576659663,41.97575770143002
1426,Dan-C2_5_Nuttallides truempyi,Nuttallides truempyi,Nuttallides truempyi,84.35406234677971,1.1994621871767237,23.67889530938577,2.5362204864669127,6.834012798273457,2.085825973997058,11.759560991127538,0.3276634745566056,0.9069841834998306,68.68190699589238
1427,Dan-C2_5_Nuttallides truempyi,Nuttallides truempyi,Nuttallides truempyi,84.35406234677971,1.1994621871767237,23.67889530938577,2.5362204864669127,6.834012798273457,2.085825973997058,11.759560991127538,0.3276634745566056,0.9069841834998306,68.68190699589238
1428,Dan-C2_6_Nuttallides truempyi,Nuttallides truempyi,Nuttallides truempyi,91.06232481973584,1.0901796693240118,12.43306847757302,2.627677644972308,7.092939006232929,2.22269190632612,9.270395777148916,0.2738543190854032,0.9326172127876804,50.1415157325668
1429,Dan-C2_7_Nuttallides truempyi,Nuttallides truempyi,Nuttallides truempyi,78.65712282171509,1.2103808380131449,32.283569387804604,2.4443693815555987,7.558661785490595,1.7932780045554966,11.977019671891943,0.2125569517763045,0.9012335447958396,72.67963857733031
1430,Dan-C2_7_Nuttallides truempyi,Nuttallides truempyi,Nuttallides truempyi,78.65712282171509,1.2103808380131449,32.283569387804604,2.4443693815555987,7.558661785490595,1.7932780045554966,11.977019671891943,0.2125569517763045,0.9012335447958396,72.67963857733031
1431,1262_2020_4_Nuttallides truempyi,Nuttallides truempyi,Nuttallides truempyi,95.69533788541382,1.1662153887835716,22.546518548154168,2.824376994727038,7.503094370995873,2.047074718515368,8.711380740836386,0.2045670144959971,0.935582407065164,35.08787062410277
1432,Dan-C2_8_Nuttallides truempyi,Nuttallides truempyi,Nuttallides truempyi,85.67749403232872,1.1560063753718244,6.852100753604635,2.6545313746522234,7.825737313279819,1.7408554158095082,10.151335523752532,0.2167986881873674,0.9412993466380508,40.57856794942792
