age_Ma,loess_d13C,loess_d18O,loess_long_d13C,loess_long_d18O
0.244,-0.799,4.085,-0.51794904,4.4771566
0.246,-0.784,4.253,-0.51737386,4.47647
0.248,-0.723,4.473,-0.51680964,4.4757886
0.250,-0.641,4.698,-0.51625651,4.475112
0.252,-0.566,4.883,-0.5157147,4.4744406
0.254,-0.554,4.927,-0.5151844,4.4737744
0.256,-0.555,4.920,-0.51466596,4.4731126
0.258,-0.500,4.862,-0.51415944,4.472456
0.260,-0.483,4.793,-0.51366514,4.4718041
0.262,-0.616,4.774,-0.5131833,4.4711571
0.264,-0.805,4.776,-0.51271415,4.4705143
0.266,-1.048,4.818,-0.51224655,4.4698811
0.268,-1.262,4.864,-0.51176971,4.4692621
0.270,-1.342,4.886,-0.51128423,4.468657
0.272,-1.332,4.891,-0.51079053,4.4680657
0.274,-1.261,4.876,-0.51028925,4.4674878
0.276,-1.148,4.833,-0.50978082,4.4669228
0.278,-0.981,4.770,-0.50926584,4.4663711
0.280,-0.687,4.681,-0.50874484,4.4658318
0.282,-0.428,4.581,-0.50821829,4.4653049
0.284,-0.392,4.486,-0.50768673,4.4647903
0.286,-0.430,4.395,-0.50715071,4.4642882
0.288,-0.540,4.287,-0.50661081,4.4637971
0.290,-0.676,4.225,-0.50606751,4.4633179
0.292,-0.714,4.301,-0.5055213,4.4628496
0.294,-0.724,4.416,-0.50497276,4.4623923
0.296,-0.812,4.557,-0.50442243,4.461946
0.298,-0.849,4.683,-0.50387084,4.4615102
0.300,-0.652,4.684,-0.50331849,4.4610844
0.302,-0.395,4.635,-0.50276589,4.4606686
0.304,-0.103,4.572,-0.50221366,4.4602628
0.306,0.065,4.479,-0.50166219,4.459866
0.308,0.092,4.394,-0.50111216,4.4594789
0.310,-0.264,4.398,-0.50056398,4.4591007
0.312,-0.647,4.403,-0.50001824,4.4587317
0.314,-0.778,4.345,-0.49947551,4.4583707
0.316,-0.804,4.267,-0.49893621,4.4580178
0.318,-0.641,4.162,-0.49840096,4.4576735
0.320,-0.432,4.045,-0.49787027,4.4573369
0.322,-0.337,3.959,-0.49734461,4.4570074
0.324,-0.252,3.876,-0.49682459,4.4566855
0.326,-0.071,3.750,-0.49631071,4.4563708
0.328,0.075,3.617,-0.49580351,4.4560628
0.330,0.070,3.462,-0.49530348,4.455761
0.332,-0.065,3.375,-0.49481121,4.4554658
0.334,-0.458,3.453,-0.49432716,4.4551768
0.336,-0.877,3.630,-0.49385193,4.4548936
0.338,-1.223,3.976,-0.493386,4.4546161
0.340,-1.293,4.386,-0.49292994,4.4543438
0.342,-1.243,4.752,-0.49248421,4.4540763
0.344,-1.050,4.867,-0.49204943,4.453814
0.346,-0.858,4.898,-0.49162605,4.4535561
0.348,-0.860,4.869,-0.49121466,4.4533029
0.350,-0.913,4.812,-0.49081576,4.4530535
