Sample ID,Depth (m),Age (Ma),O. umbonatus Mg/Ca,O. umbonatus Mg/Ca_adj,O. umbonatus B/Ca,C. mundulus d18O,C. mundulus d13C,interpolated d18O,interpolated d18O-BWT,C. wuellerstorfi Mg/Ca [mmol/mol],C. mundulus Mg/Ca [mmol/mol],BWT (O. umbonatus Mg-temp),BWT (C. wuellerstorfi Mg-temp),BWT (C. mundulus Mg-temp)
"130-806B-38X-4,75-79",354.35,10.214,,,,,,,,,,,,
"130-806B-39X-1,63-67",359.43,10.343,,,,,,,,,,,,
"130-806B-39X-2,72-76",361.02,10.383,,,,,,,,,,,,
"130-806B-39X-3,69-73",362.49,10.421,,,,,,,,,1.5346,,,4.8855
"130-806B-39X-3,69-73",362.49,10.421,2.1049,2.1049,,,,,,,,6.4588,,
"130-806B-39X-4,61-65",363.91,10.457,,,,,,,,,,,,
"130-806B-39X-5,74-78",365.54,10.498,,,,,,,,,,,,
"130-806B-39X-6,73-77",367.03,10.536,,,,,,,,,,,,
"130-806B-40X-1,70-74",369.2,10.591,,,,,,,,,,,,
"130-806B-40X-2,72-76",370.72,10.63,,,,,,,,,,,,
"130-806B-40X-3,81-85",372.31,10.67,,,,,,,,,,,,
"130-806B-40X-4,72-76",373.72,10.706,,,,,,,,,,,,
"130-806B-40X-5,74-78",375.24,10.745,,,,,,,,,,,,
"130-806B-41X-1,84-88",379.04,10.841,,,,,,,,,,,,
"130-806B-41X-2,59-63",380.29,10.873,,,,,,,,,,,,
"130-806B-41X-3,89-93",382.09,10.919,,,,,,,,,,,,
"130-806B-41X-4,86-90",383.56,10.956,,,,,,,,,,,,
"130-806B-41X-5,66-70",384.86,10.989,,,,,,,,,,,,
"130-806B-42X-1,70-74",388.6,11.084,,,,,,,,,,,,
"130-806B-42X-2,58-62",389.98,11.119,,,,,,,,,,,,
"130-806B-42X-3,71-75",391.61,11.161,1.8728,1.8728,,,,,,,,5.4341,,
"130-806B-42X-3,71-75",391.61,11.161,,,,,,,,,1.6619,,,5.6168
"130-806B-42X-4,74-78",393.14,11.199,,,,,,,,,,,,
"130-806B-42X-5,75-79",394.65,11.238,,,,,,,,,,,,
"130-806B-42X-6,75-79",396.15,11.276,,,,,,,,,,,,
"130-806B-42X-7,21-25",397.11,11.3,,,,,,,,,,,,
"130-806B-43X-1,67-71",398.17,11.327,,,,,,,,,,,,
"130-806B-43X-2,59-63",399.59,11.363,,,,,,,,,,,,
"130-806B-43X-3,68-72",401.18,11.655,,,,,,,,,,,,
"130-806B-43X-3,68-72",401.18,11.655,,,,,,,,,,,,
"130-806B-43X-4,75-79",402.75,11.444,,,,,,,,,,,,
"130-806B-43X-5,73-77",404.23,11.481,,,,,,,,,,,,
"130-806B-43X-6,74-78",405.74,11.52,,,,,,,,,,,,
"130-806B-43X-7,33-37",406.83,11.547,,,,,,,,,,,,
"130-806B-44X-1,86-90",408.06,11.578,,,,,,,,,,,,
"130-806B-44X-2,63-67",409.33,11.611,,,,,,,,,,,,
"130-806B-44X-3,62-66",410.82,11.649,,,,,,,,1.6919,,,6.1335,
"130-806B-44X-3,62-66",410.82,11.649,1.9607,1.9607,,,,,,,,5.8361,,
"130-806B-44X-3,62-66",410.82,11.649,,,,,,,,,1.5538,,,4.9993
"130-806B-44X-4,75-79",412.45,11.69,,,,,,,,,,,,
"130-806B-44X-5,70-74",413.9,11.727,,,,,,,,,,,,
"130-806B-44X-6,66-70",415.36,11.764,,,,,,,,,,,,
"130-806B-44X-7,22-26",416.42,11.791,,,,,,,,,,,,
"130-806B-45X-1,76-80",417.66,11.822,,,,,,,,,,,,
"130-806B-45X-2,68-72",419.08,11.858,,,,,,,,,,,,
"130-806B-45X-3,60-64",420.5,11.894,,,,,,,,,1.4422,,,4.3159
"130-806B-45X-4,65-69",422.05,11.934,,,,,,,,,,,,
"130-806B-45X-5,60-64",423.5,11.971,,,,,,,,,,,,
"130-806B-45X-6,68-72",425.08,12.011,,,,,,,,,,,,
926,0.35,0.009127,1.5161,1.5161,,,,,,,,3.5803,,
926,0.35,0.009127,,,,,,,,1.4082,,,4.4496,
926,1.16,0.03025,1.4778,1.4778,,,,,,,,3.3562,,
926,1.16,0.03025,,,,,,,,1.0918,,,2.1149,
926,1.91,0.04981,,,,,,,,1.0862,,,2.0679,
926,3.41,0.088927,,,,,,,,0.95487,,,0.8857,
926,7.4,0.19298,,,,,,,,1.0089,,,1.3903,
926,7.4,0.19298,1.1383,1.1383,,,,,,,,1.0664,,
926,10.4,0.27394,,,,,,,,0.88917,,,0.2316,
926,10.4,0.27394,1.0642,1.0642,,,,,,,,0.4755,,
926,12.65,0.34687,,,,,,,,1.0806,,,2.0202,
926,12.65,0.34687,1.2705,1.2705,,,,,,,,2.0301,,
926,14.9,0.41981,,,,,,,,0.99434,,,1.2573,
926,14.9,0.41981,1.4167,1.4167,,,,,,,,2.9858,,
926,14.9,0.41981,,,,,,,,,,,,
926,15.69,0.44541,1.2011,1.2011,,,,,,,,1.5375,,
926,15.69,0.44541,,,,,,,,,,,,
926,15.69,0.44541,,,,,,,,1.0918,,,2.1152,
926,17.94,0.50778,1.3645,1.3645,,,,,,,,2.6561,,
926,17.94,0.50778,,,,,,,,1.2707,,,3.507,
926,18.69,0.52769,,,,,,,,1.0354,,,1.6289,
926,18.69,0.52769,1.2794,1.2794,,,,,,,,2.0916,,
926,20.94,0.58741,,,,,,,,1.0284,,,1.5665,
926,20.94,0.58741,1.2292,1.2292,,,,,,,,1.7402,,
926,23.19,0.64713,1.4653,1.4653,,,,,,,,3.2815,,
926,23.19,0.64713,,,,,,,,1.1422,,,2.529,
926,26.68,0.73977,,,,,,,,0.91819,,,0.5263,
926,26.68,0.73977,1.2312,1.2312,,,,,,,,1.7548,,
926,31.18,0.85922,,,,,,,,0.80438,,,-0.6878,
926,31.18,0.85922,1.0804,1.0804,,,,,,,,0.6081,,
926,33.43,0.91894,,,,,,,,1.032,,,1.5984,
926,33.43,0.91894,1.7521,1.7521,,,,,,,,4.8494,,
926,34.93,0.96394,1.4786,1.4786,,,,,,,,3.3605,,
926,34.93,0.96394,,,,,,,,1.1939,,,2.9351,
926,37.76,1.0835,,,,,,,,1.2017,,,2.9952,
926,37.76,1.0835,,,,,,,,1.0977,,,2.1646,
926,37.76,1.0835,1.4465,1.4465,,,,,,,,3.1683,,
926,37.76,1.0835,1.2082,1.2082,,,,,,,,1.5891,,
926,40.01,1.1785,,,,,,,,1.3295,,,3.9224,
926,40.01,1.1785,1.2507,1.2507,,,,,,,,1.8924,,
926,40.01,1.1785,,,,,,,,1.0349,,,1.6238,
926,40.76,1.2102,1.2343,1.2343,,,,,,,,1.7768,,
926,40.76,1.2102,,,,,,,,1.0386,,,1.6565,
926,43.01,1.3052,,,,,,,,1.2255,,,3.1748,
926,43.01,1.3052,1.3315,1.3315,,,,,,,,2.4415,,
926,45.26,1.4003,1.1781,1.1781,,,,,,,,1.3681,,
926,45.26,1.4003,,,,,,,,1.1108,,,2.2731,
926,47.92,1.5126,,,,,,,,1.1462,,,2.561,
926,47.92,1.5126,1.358,1.358,,,,,,,,2.6144,,
926,50.17,1.6076,,,,,,,,1.0664,,,1.8988,
926,50.17,1.6076,1.461,1.461,,,,,,,,3.2557,,
926,51.67,1.671,1.4383,1.4383,,,,,,,,3.1181,,
926,53.92,1.7456,1.3775,1.3775,,,,,,,,2.7392,,
926,58.61,1.8906,,,,,,,,,1.3264,,,3.5475
926,58.61,1.8906,1.9584,1.9584,,,,,,,,5.826,,
926,67.6,2.2523,1.4067,1.4067,,,,,,,,2.9236,,
926,67.6,2.2523,,,,,,,,1.3011,,,3.7238,
926,77.17,2.594,,,,,,,,1.3115,,,3.7968,
926,77.17,2.594,1.651,1.651,,,,,,,,4.3282,,
926,86.62,2.8054,1.4985,1.4985,,,,,,,,3.4778,,
926,86.62,2.8054,,,,,,,,1.3503,,,4.0649,
926,95.59,3.072,,,,,,,,1.2584,,,3.4181,
926,95.59,3.072,1.6438,1.6438,,,,,,,,4.2899,,
926,105.13,3.3654,1.62,1.62,,,,,,,,4.1617,,
926,105.13,3.3654,,,,,,,,1.2477,,,3.3399,
926,108.13,3.4577,1.7128,1.7128,,,,,,,,4.6505,,
926,108.13,3.4577,,,,,,,,1.2486,,,3.3462,
926,116.44,3.7264,,,,,,,,1.3428,,,4.0134,
926,116.44,3.7264,1.4692,1.4692,,,,,,,,3.305,,
926,125.73,4.0151,1.5675,1.5675,,,,,,,,3.8732,,
926,125.73,4.0151,,,,,,,,1.2707,,,3.5075,
926,135.89,4.3299,1.6488,1.6488,,,,,,,,4.3167,,
926,135.89,4.3299,,,,,,,,1.1459,,,2.5588,
926,141.37,4.5156,,,,,,,,,1.8325,,,6.513
926,141.37,4.5156,1.6765,1.6765,,,,,,,,4.4625,,
926,147.89,4.7912,,,,,,,,1.4052,,,4.4301,
926,147.89,4.7912,1.7788,1.7788,,,,,,,,4.9823,,
926,153.94,5.004,,,,,,,,,,,,
926,153.94,5.004,1.686,1.686,,,,,,,,4.5122,,
926,156.15,5.1,,,,,,,,1.3222,,,3.8714,
926,156.15,5.1,1.7123,1.7123,,,,,,,,4.648,,
926,157.04,5.1375,1.7731,1.7731,,,,,,,,4.9541,,
926,157.04,5.1375,,,,,,,,,1.4693,,,4.4868
926,158.43,5.1992,1.98,1.98,,,,,,,,5.9222,,
926,158.43,5.1992,,,,,,,,1.382,,,4.2775,
926,158.43,5.1992,,,,,,,,,1.751,,,6.0958
926,158.43,5.1992,,,,,,,,,,,,
926,160.73,5.2996,,,,,,,,,1.59,,,5.2109
926,160.73,5.2996,,,,,,,,1.397,,,4.3765,
926,160.73,5.2996,1.719,1.719,,,,,,,,4.6822,,
926,162.83,5.3993,1.859,1.859,,,,,,,,5.369,,
926,164.91,5.498,,,,,,,,1.54,,,5.2706,
926,164.91,5.498,1.752,1.752,,,,,,,,4.849,,
926,167.11,5.601,,,,,,,,,1.614,,,5.3482
926,167.11,5.601,,,,,,,,1.4884,,,4.9577,
926,169.21,5.702,,,,,,,,,,,,
926,171.54,5.8034,,,,,,,,,1.571,,,5.1006
926,171.54,5.8034,1.791,1.791,,,,,,,,5.0422,,
926,171.54,5.8034,,,,,,,,1.217,,,3.1111,
926,173.94,5.9032,1.511,1.511,,,,,,,,3.5509,,
926,173.94,5.9032,,,,,,,,1.207,,,3.0354,
926,173.94,5.9032,,,,,,,,,,,,
926,173.94,5.9032,,,,,,,,,,,,
926,175.93,5.999,,,,,,,,1.2737,,,3.5285,
926,175.93,5.999,1.8184,1.8184,,,,,,,,5.1752,,
926,176.19,6.0118,1.773,1.773,,,,,,,,4.9536,,
926,176.19,6.0118,1.585,1.585,,,,,,,,3.9703,,
926,176.19,6.0118,,,,,,,,,,,,
926,176.19,6.0118,,,,,,,,,,,,
926,176.19,6.0118,,,,,,,,,,,,
926,176.19,6.0118,,,,,,,,,,,,
926,176.19,6.0118,,,,,,,,,,,,
926,176.19,6.0118,,,,,,,,,,,,
926,177.35,6.0724,,,,,,,,,,,,
926,177.35,6.0724,,,,,,,,1.1992,,,2.9758,
926,177.93,6.1,,,,,,,,,,,,
926,177.93,6.1,1.8917,1.8917,,,,,,,,5.5221,,
926,177.93,6.1,,,,,,,,,1.5702,,,5.0959
926,177.93,6.1,,,,,,,,1.267,,,3.4802,
926,179.69,6.201,1.7084,1.7084,,,,,,,,4.6281,,
926,179.69,6.201,,,,,,,,,,,,
926,179.69,6.201,,,,,,,,,1.4474,,,4.3491
926,179.69,6.201,,,,,,,,1.2407,,,3.2878,
926,181.31,6.3018,,,,,,,,,1.334,,,3.6003
926,181.31,6.3018,1.627,1.627,,,,,,,,4.1997,,
926,181.31,6.3018,,,,,,,,1.005,,,1.3551,
926,181.31,6.3018,,,,,,,,,,,,
926,181.31,6.3018,,,,,,,,,,,,
926,183.21,6.4005,1.694,1.694,,,,,,,,4.5537,,
926,183.21,6.4005,,,,,,,,1.23,,,3.2085,
926,183.21,6.4005,,,,,,,,,,,,
926,185.11,6.499,,,,,,,,,1.594,,,5.2339
926,185.11,6.499,1.779,1.779,,,,,,,,4.9832,,
926,185.11,6.499,,,,,,,,1.186,,,2.8743,
926,186.91,6.602,,,,,,,,,,,,
926,186.91,6.602,1.763,1.763,,,,,,,,4.9039,,
926,186.91,6.602,,,,,,,,1.247,,,3.3345,
926,189.06,6.699,,,,,,,,1.399,,,4.3895,
926,190.71,6.802,,,,,,,,,,,,
926,190.71,6.802,,,,,,,,,,,,
926,190.71,6.802,,,,,,,,1.595,,,5.5926,
926,190.71,6.802,1.557,1.557,,,,,,,,3.814,,
926,192.21,6.9045,,,,,,,,,,,,
926,192.21,6.9045,1.769,1.769,,,,,,,,4.9337,,
926,192.21,6.9045,,,,,,,,1.195,,,2.9437,
926,193.91,7.0026,1.594,1.594,,,,,,,,4.02,,
926,193.91,7.0026,,,,,,,,,,,,
926,195.31,7.1044,,,,,,,,,,,,
926,195.31,7.1044,1.523,1.523,,,,,,,,3.6203,,
926,195.31,7.1044,,,,,,,,1.213,,,3.0809,
926,196.51,7.2114,1.677,1.677,,,,,,,,4.4652,,
926,196.51,7.2114,,,,,,,,1.158,,,2.6551,
926,196.51,7.2114,,,,,,,,,,,,
926,196.51,7.2114,,,,,,,,,,,,
926,197.51,7.304,,,,,,,,1.098,,,2.167,
926,197.51,7.304,,,,,,,,,,,,
926,197.51,7.304,,,,,,,,,1.474,,,4.5159
926,197.51,7.304,1.637,1.637,,,,,,,,4.2535,,
926,200.01,7.4,,,,,,,,1.297,,,3.6951,
926,200.01,7.4,1.696,1.696,,,,,,,,4.5641,,
926,200.01,7.4,,,,,,,,,,,,
926,200.01,7.4,,,,,,,,,1.584,,,5.1762
926,201.56,7.5,,,,,,,,,1.7304,,,5.9873
926,201.56,7.5,1.5734,1.5734,,,,,,,,3.9059,,
926,201.56,7.5,,,,,,,,,,,,
926,202.91,7.6003,,,,,,,,1.147,,,2.5676,
926,202.91,7.6003,,,,,,,,,,,,
926,202.91,7.6003,,,,,,,,,1.534,,,4.8819
926,202.91,7.6003,2.049,2.049,,,,,,,,6.2227,,
926,203.89,7.648,,,,,,,,,,,,
926,204.76,7.6886,,,,,,,,,,,,
926,204.76,7.6886,,,,,,,,,,,,
926,204.76,7.6886,1.829,1.829,,,,,,,,5.2263,,
926,204.94,7.698,1.8678,1.8678,,,,,,,,5.4107,,
926,206.04,7.773,1.6823,1.6823,,,,,,,,4.4927,,
926,206.56,7.8,,,,,,,,,,,,
926,206.56,7.8,1.849,1.849,,,,,,,,5.3217,,
926,206.56,7.8,,,,,,,,1.543,,,5.2885,
926,207.14,7.833,,,,,,,,,,,,
926,208.14,7.886,1.7555,1.7555,,,,,,,,4.8665,,
926,208.46,7.9003,,,,,,,,,,,,
926,208.46,7.9003,1.867,1.867,,,,,,,,5.4067,,
926,209.34,7.934,1.9086,1.9086,,,,,,,,5.6001,,
926,210.38,7.977,1.9655,1.9655,,,,,,,,5.8578,,
926,211,8.0009,1.854,1.854,,,,,,,,5.3454,,
926,211,8.0009,,,,,,,,,,,,
926,211,8.0009,,,,,,,,,2.356,,,8.8185
926,211.58,8.023,1.9922,1.9922,,,,,,,,5.976,,
926,212.78,8.072,2.0556,2.0556,,,,,,,,6.2511,,
926,213.4,8.102,1.634,1.634,,,,,,,,4.2374,,
926,213.4,8.102,,,,,,,,,1.648,,,5.5396
926,213.4,8.102,,,,,,,,1.303,,,3.7375,
926,213.98,8.134,2.0454,2.0454,,,,,,,,6.2074,,
926,214.84,8.175,2.2021,2.2021,,,,,,,,6.8546,,
926,215.46,8.2019,,,,,,,,,1.776,,,6.2258
926,215.46,8.2019,,,,,,,,,,,,
926,215.46,8.2019,2,2,,,,,,,,6.0103,,
926,215.94,8.22,2.0882,2.0882,,,,,,,,6.3889,,
926,216.94,8.258,1.9141,1.9141,,,,,,,,5.6251,,
926,217.74,8.295,1.922,1.922,,,,,,,,5.6615,,
926,217.88,8.302,,,,,,,,,,,,
926,217.88,8.302,,,,,,,,,2.5841,,,9.6662
926,219.78,8.403,1.759,1.759,,,,,,,,4.8839,,
926,219.78,8.403,,,,,,,,,,,,
926,221.28,8.504,,,,,,,,,1.861,,,6.6547
926,221.28,8.504,,,,,,,,,,,,
926,221.28,8.504,1.874,1.874,,,,,,,,5.4395,,
926,222.58,8.599,2.011,2.011,,,,,,,,6.0585,,
926,222.58,8.599,,,,,,,,,2.05,,,7.5421
926,222.58,8.599,,,,,,,,,,,,
926,224.03,8.7029,2.162,2.162,,,,,,,,6.6936,,
926,224.03,8.7029,,,,,,,,,1.802,,,6.3591
926,224.11,8.71,,,,,,,,,,,,
926,225.11,8.771,,,,,,,,,,,,
926,225.53,8.798,2.284,2.284,,,,,,,,7.1751,,
926,225.53,8.798,,,,,,,,,,,,
926,225.53,8.798,,,,,,,,,1.682,,,5.7269
926,227.03,8.9031,,,,,,,,,,,,
926,227.03,8.9031,,,,,,,,,,,,
926,227.03,8.9031,,,,,,,,,,,,
926,227.03,8.9031,,,,,,,,,,,,
926,227.03,8.9031,2.197,2.197,,,,,,,,6.8344,,
926,227.03,8.9031,,,,,,,,,,,,
926,227.31,8.924,,,,,,,,,,,,
926,228.47,9.0002,,,,,,,,,2.265,,,8.4571
926,228.47,9.0002,,,,,,,,,,,,
926,228.47,9.0002,,,,,,,,2.004,,,7.6868,
926,228.47,9.0002,,,,,,,,,,,,
926,228.47,9.0002,,,,,,,,,,,,
926,230.07,9.1134,2.194,2.194,,,,,,,,6.8224,,
926,230.07,9.1134,,,,,,,,,,,,
926,230.07,9.1134,,,,,,,,,,,,
926,230.07,9.1134,,,,,,,,1.577,,,5.4884,
926,231.37,9.2036,,,,,,,,,,,,
926,231.37,9.2036,,,,,,,,,,,,
926,231.37,9.2036,,,,,,,,1.526,,,5.1868,
926,231.37,9.2036,,,,,,,,,1.638,,,5.4837
926,234.24,9.3988,1.73,1.73,,,,,,,,4.7382,,
926,234.24,9.3988,,,,,,,,,,,,
926,234.24,9.3988,,,,,,,,,,,,
926,234.24,9.3988,,,,,,,,,1.796,,,6.3286
926,234.24,9.3988,,,,,,,,,,,,
926,237.14,9.6033,2,2,,,,,,,,6.0103,,
926,237.14,9.6033,,,,,,,,,1.982,,,7.2326
926,237.14,9.6033,,,,,,,,,,,,
926,237.14,9.6033,,,,,,,,1.673,,,6.0306,
926,239.42,9.742,2.0259,2.0259,,,,,,,,6.1234,,
926,240.57,9.7998,1.955,1.955,,,,,,,,5.8107,,
926,240.57,9.7998,,,,,,,,1.659,,,5.9535,
926,243.47,9.9991,2.388,2.388,,,,,,,,7.5657,,
926,243.47,9.9991,,,,,,,,,,,,
926,243.47,9.9991,,,,,,,,1.74,,,6.3908,
926,243.47,9.9991,,,,,,,,,2.14,,,7.9363
926,244.67,10.085,,,,,,,,,,,,
926,245.67,10.164,2.3204,2.3204,,,,,,,,7.3137,,
926,246.19,10.212,,,,,,,,,1.955,,,7.1068
926,246.19,10.212,,,,,,,,1.588,,,5.5522,
926,246.19,10.212,2.149,2.149,,,,,,,,6.6407,,
926,246.19,10.212,,,,,,,,,,,,
926,246.19,10.212,,,,,,,,,,,,
926,247.57,10.336,2.1082,2.1082,,,,,,,,6.4724,,
926,248.29,10.399,,,,,,,,1.6795,,,6.0659,
926,248.29,10.399,,,,,,,,,1.905,,,6.8691
926,248.29,10.399,2.1793,2.1793,,,,,,,,6.7635,,
926,248.57,10.424,2.0769,2.0769,,,,,,,,6.3412,,
926,249.57,10.492,1.8794,1.8794,,,,,,,,5.4649,,
926,250.57,10.537,2.0754,2.0754,,,,,,,,6.3352,,
926,251.42,10.608,,,,,,,,,2.006,,,7.3431
926,251.42,10.608,,,,,,,,,,,,
926,251.42,10.608,,,,,,,,1.587,,,5.5464,
926,251.42,10.608,1.91,1.91,,,,,,,,5.6064,,
926,253.72,10.798,,,,,,,,1.66,,,5.959,
926,253.72,10.798,1.614,1.614,,,,,,,,4.1294,,
926,256.28,11,,,,,,,,,,,,
926,256.28,11,,,,,,,,1.353,,,4.0829,
926,256.28,11,1.442,1.442,,,,,,,,3.1409,,
926,258.88,11.232,1.466,1.466,,,,,,,,3.2857,,
926,258.88,11.232,,,,,,,,,1.412,,,4.1216
926,258.88,11.232,,,,,,,,1.455,,,4.7497,
926,261.53,11.427,1.457,1.457,,,,,,,,3.2317,,
926,261.53,11.427,,,,,,,,1.09,,,2.0999,
926,261.53,11.427,,,,,,,,,1.662,,,5.6172
926,263.93,11.652,,,,,,,,,1.28,,,3.2212
926,263.93,11.652,,,,,,,,1.3,,,3.7163,
926,263.93,11.652,1.547,1.547,,,,,,,,3.7575,,
926,265.73,11.804,,,,,,,,,1.438,,,4.289
926,265.73,11.804,1.766,1.766,,,,,,,,4.9189,,
926,265.73,11.804,,,,,,,,1.32,,,3.8564,
926,269.04,12.002,,,,,,,,,,4.289,,
926,269.04,12.002,,,,,,,,,,,,
