Core,Location,Lat,Lon,Paleodepth,Age,d13C,d18O
1262,SAtl,-27.186,1.577,4770,52.6875647578125,0.22,-0.77
1262,SAtl,-27.186,1.577,4770,52.6919626171875,0.17,-0.74
1262,SAtl,-27.186,1.577,4770,52.6963604765625,0.06,-0.81
1262,SAtl,-27.186,1.577,4770,52.7007583359375,0.11,-0.67
1262,SAtl,-27.186,1.577,4770,52.7095540546875,0.18,-0.67
1262,SAtl,-27.186,1.577,4770,52.7139519140625,0.14,-0.6
1262,SAtl,-27.186,1.577,4770,52.7227476328125,0.07,-0.61
1262,SAtl,-27.186,1.577,4770,52.7271454921875,-0.11,-0.83
1262,SAtl,-27.186,1.577,4770,52.7315433515625,-0.27,-0.84
1262,SAtl,-27.186,1.577,4770,52.7359412109375,-0.34,-1.05
1262,SAtl,-27.186,1.577,4770,52.7403390703125,-0.51,-1.19
1262,SAtl,-27.186,1.577,4770,52.7446940785714,-0.39,-1.02
1262,SAtl,-27.186,1.577,4770,52.7490062357143,-0.17,-0.85
1262,SAtl,-27.186,1.577,4770,52.7533183928571,0.03,-0.62
1262,SAtl,-27.186,1.577,4770,52.75763055,0.14,-0.61
1262,SAtl,-27.186,1.577,4770,52.7619427071429,0.19,-0.6
1262,SAtl,-27.186,1.577,4770,52.7662548642857,0.04,-0.67
1262,SAtl,-27.186,1.577,4770,52.7705670214286,0.09,-0.69
1262,SAtl,-27.186,1.577,4770,52.7748791785714,0.19,-0.61
1262,SAtl,-27.186,1.577,4770,52.7791913357143,0.17,-0.58
1262,SAtl,-27.186,1.577,4770,52.7835034928571,0.08,-0.68
1262,SAtl,-27.186,1.577,4770,52.78781565,-0.01,-0.61
1262,SAtl,-27.186,1.577,4770,52.7921278071429,-0.03,-0.71
1262,SAtl,-27.186,1.577,4770,52.7964399642857,0.09,-0.65
1262,SAtl,-27.186,1.577,4770,52.8007521214286,0.11,-0.6
1262,SAtl,-27.186,1.577,4770,52.8335618877429,0.15,-0.65
1262,SAtl,-27.186,1.577,4770,52.8391231330714,0.14,-0.58
1262,SAtl,-27.186,1.577,4770,52.8454257452586,-0.18,-0.92
1262,SAtl,-27.186,1.577,4770,52.8527496982759,-0.01,-0.74
1262,SAtl,-27.186,1.577,4770,52.8591461637931,-0.45,-0.9
1262,SAtl,-27.186,1.577,4770,52.8847320258621,-0.53,-0.95
1262,SAtl,-27.186,1.577,4770,52.8911284913793,-0.63,-1.11
1262,SAtl,-27.186,1.577,4770,52.8975249568966,-0.66,-1.09
1262,SAtl,-27.186,1.577,4770,52.9019513110345,-0.46,-0.89
1262,SAtl,-27.186,1.577,4770,52.9039214224138,-0.21,-0.99
1262,SAtl,-27.186,1.577,4770,52.9074671964655,-0.21,-0.96
1262,SAtl,-27.186,1.577,4770,52.9129830818966,-0.13,-1.01
1262,SAtl,-27.186,1.577,4770,52.9185010994828,-0.11,-0.9
1262,SAtl,-27.186,1.577,4770,52.9754312672414,0.13,-0.82
1262,SAtl,-27.186,1.577,4770,52.9794056982759,0.08,-0.86
1262,SAtl,-27.186,1.577,4770,52.9833801293103,0.3,-0.72
1262,SAtl,-27.186,1.577,4770,52.9873545603448,0.21,-0.75
1262,SAtl,-27.186,1.577,4770,52.9913289913793,0.27,-0.73
1262,SAtl,-27.186,1.577,4770,52.9953034224138,0.12,-0.78
1262,SAtl,-27.186,1.577,4770,52.9992778534483,0.16,-0.52
1262,SAtl,-27.186,1.577,4770,53.0032522844828,0.04,-0.83
1262,SAtl,-27.186,1.577,4770,53.0078891206897,0.08,-0.73
1262,SAtl,-27.186,1.577,4770,53.0112011465517,0.1,-0.7
1262,SAtl,-27.186,1.577,4770,53.0151755775862,0.03,-0.84
1262,SAtl,-27.186,1.577,4770,53.0191500086207,0.14,-0.63
1262,SAtl,-27.186,1.577,4770,53.0231244396552,0.08,-0.73
1262,SAtl,-27.186,1.577,4770,53.0270988706897,-0.01,-0.77
1262,SAtl,-27.186,1.577,4770,53.0310733017241,-0.14,-0.9
1262,SAtl,-27.186,1.577,4770,53.0350477327586,-0.2,-0.92
1262,SAtl,-27.186,1.577,4770,53.0390221637931,0.01,-0.77
1262,SAtl,-27.186,1.577,4770,53.0429965948276,0.17,-0.82
1262,SAtl,-27.186,1.577,4770,53.0459684485294,0.12,-0.77
1262,SAtl,-27.186,1.577,4770,53.0487397867647,0.18,-0.8
1262,SAtl,-27.186,1.577,4770,53.051511125,0.22,-0.74
1262,SAtl,-27.186,1.577,4770,53.0542824632353,0.28,-0.78
1262,SAtl,-27.186,1.577,4770,53.0570538014706,0.16,-0.71
1262,SAtl,-27.186,1.577,4770,53.0598251397059,0.29,-0.83
1262,SAtl,-27.186,1.577,4770,53.0625964779412,0.02,-0.89
1262,SAtl,-27.186,1.577,4770,53.0653678161765,0,-0.92
1262,SAtl,-27.186,1.577,4770,53.0681391544118,0.12,-0.8
1262,SAtl,-27.186,1.577,4770,53.0709104926471,0.05,-0.71
1262,SAtl,-27.186,1.577,4770,53.0736818308824,0.09,-0.69
1262,SAtl,-27.186,1.577,4770,53.0764531691176,0.31,-0.66
1262,SAtl,-27.186,1.577,4770,53.0792245073529,0.32,-0.6
1262,SAtl,-27.186,1.577,4770,53.0819958455882,0.27,-0.56
1262,SAtl,-27.186,1.577,4770,53.0847671838235,0.16,-0.67
1262,SAtl,-27.186,1.577,4770,53.0875385220588,0.17,-0.63
1262,SAtl,-27.186,1.577,4770,53.0903098602941,0.01,-0.73
1262,SAtl,-27.186,1.577,4770,53.0930811985294,0.01,-0.67
1262,SAtl,-27.186,1.577,4770,53.0958525367647,0.11,-0.7
1262,SAtl,-27.186,1.577,4770,53.098623875,0.11,-0.67
1262,SAtl,-27.186,1.577,4770,53.1013952132353,-0.05,-0.77
1262,SAtl,-27.186,1.577,4770,53.1041665514706,0.03,-0.72
1262,SAtl,-27.186,1.577,4770,53.1147327430556,-0.05,-0.72
1262,SAtl,-27.186,1.577,4770,53.1218099513889,-0.02,-0.81
1262,SAtl,-27.186,1.577,4770,53.1288871597222,-0.07,-0.76
1262,SAtl,-27.186,1.577,4770,53.1359643680556,-0.07,-0.7
1262,SAtl,-27.186,1.577,4770,53.1430415763889,0.1,-0.64
1262,SAtl,-27.186,1.577,4770,53.1501187847222,0.16,-0.56
1262,SAtl,-27.186,1.577,4770,53.1571959930556,0.03,-0.65
1262,SAtl,-27.186,1.577,4770,53.1642727891085,0.2212,-0.5628
1262,SAtl,-27.186,1.577,4770,53.1855044044181,-0.1768,-0.8408
1262,SAtl,-27.186,1.577,4770,53.1996588146245,-0.2368,-0.9198
1262,SAtl,-27.186,1.577,4770,53.2067360197277,-0.1058,-0.7838
1262,SAtl,-27.186,1.577,4770,53.2138132248309,-0.3072,-0.982257718898748
1262,SAtl,-27.186,1.577,4770,53.2208904299341,-0.1202,-0.887369273462904
1262,SAtl,-27.186,1.577,4770,53.2279676350373,0.2128,-0.515722862172518
1262,SAtl,-27.186,1.577,4770,53.2350448401405,-0.1482,-0.895276643915891
1262,SAtl,-27.186,1.577,4770,53.2421220452438,-0.0311999999999999,-0.763816610134983
1262,SAtl,-27.186,1.577,4770,53.249199250347,-0.4522,-0.992141931964981
1262,SAtl,-27.186,1.577,4770,53.2562764554502,-0.3612,-1.0395861546829
1262,SAtl,-27.186,1.577,4770,53.2633536605534,-0.3492,-1.07220405780147
