,foram_database_idx,core,sample_id,sample_mix_id,s_id_species,agilent_id,run_name,run_order,time,sample_name,rank,sum_sq_resid
2174,,1264,1264_A_21_H_1_84-85,1264_1_Elena,1264_1_Elena_Cibicidoides mundulus,STG202212061649,Carbonates_TE_24smps_HB_ED_20221206.b,16,2022-12-06 16:49:14,407-415****,1,0.08176632468736592
2174,,1264,1264_A_21_H_1_84-85,1264_1_Elena,1264_1_Elena_Cibicidoides mundulus,STG202212061817,Carbonates_TE_24smps_HB_ED_20221206.b,32,2022-12-06 18:17:34,2910-2925**,2,0.1614636353790879
2174,,1264,1264_A_21_H_1_84-85,1264_1_Elena,1264_1_Elena_Cibicidoides mundulus,STG202212061912,Carbonates_TE_24smps_HB_ED_20221206.b,42,2022-12-06 19:12:49,1073-1098**,3,0.17678182661793734
2174,,1264,1264_A_21_H_1_84-85,1264_1_Elena,1264_1_Elena_Cibicidoides mundulus,STG202212061934,Carbonates_TE_24smps_HB_ED_20221206.b,46,2022-12-06 19:34:55,2w-int-118-135-m.B,4,0.20825844722883893
2174,,1264,1264_A_21_H_1_84-85,1264_1_Elena,1264_1_Elena_Cibicidoides mundulus,STG202212061828,Carbonates_TE_24smps_HB_ED_20221206.b,34,2022-12-06 18:28:38,3920-3923**,5,0.22527554441323192
2174,,1264,1264_A_21_H_1_84-85,1264_1_Elena,1264_1_Elena_Cibicidoides mundulus,STG202212061806,Carbonates_TE_24smps_HB_ED_20221206.b,30,2022-12-06 18:06:31,2298-2324**,6,0.25770919473294707
2174,,1264,1264_A_21_H_1_84-85,1264_1_Elena,1264_1_Elena_Cibicidoides mundulus,STG202212061627,Carbonates_TE_24smps_HB_ED_20221206.b,12,2022-12-06 16:27:08,3030-3045*,7,0.26082769319214616
2174,,1264,1264_A_21_H_1_84-85,1264_1_Elena,1264_1_Elena_Cibicidoides mundulus,STG202212061839,Carbonates_TE_24smps_HB_ED_20221206.b,36,2022-12-06 18:39:43,1192-1195**,8,0.3145838853571848
2174,,1264,1264_A_21_H_1_84-85,1264_1_Elena,1264_1_Elena_Cibicidoides mundulus,STG202212061901,Carbonates_TE_24smps_HB_ED_20221206.b,40,2022-12-06 19:01:47,3872-3915**,9,0.5004767152859807
2174,,1264,1264_A_21_H_1_84-85,1264_1_Elena,1264_1_Elena_Cibicidoides mundulus,STG202212061738,Carbonates_TE_24smps_HB_ED_20221206.b,25,2022-12-06 17:38:54,1145-1150**,10,0.9895563931230994
2175,,1264,1264_A_21_H_2_2-3,1264_2_Elena,1264_2_Elena_Cibicidoides mundulus,STG202212061839,Carbonates_TE_24smps_HB_ED_20221206.b,36,2022-12-06 18:39:43,1192-1195**,1,0.07296097713410024
2175,,1264,1264_A_21_H_2_2-3,1264_2_Elena,1264_2_Elena_Cibicidoides mundulus,STG202212061649,Carbonates_TE_24smps_HB_ED_20221206.b,16,2022-12-06 16:49:14,407-415****,2,0.09789060189174643
2175,,1264,1264_A_21_H_2_2-3,1264_2_Elena,1264_2_Elena_Cibicidoides mundulus,STG202212061806,Carbonates_TE_24smps_HB_ED_20221206.b,30,2022-12-06 18:06:31,2298-2324**,3,0.13314062238807461
2175,,1264,1264_A_21_H_2_2-3,1264_2_Elena,1264_2_Elena_Cibicidoides mundulus,STG202212061627,Carbonates_TE_24smps_HB_ED_20221206.b,12,2022-12-06 16:27:08,3030-3045*,4,0.1773658076969775
2175,,1264,1264_A_21_H_2_2-3,1264_2_Elena,1264_2_Elena_Cibicidoides mundulus,STG202212061817,Carbonates_TE_24smps_HB_ED_20221206.b,32,2022-12-06 18:17:34,2910-2925**,5,0.1822944541415265
2175,,1264,1264_A_21_H_2_2-3,1264_2_Elena,1264_2_Elena_Cibicidoides mundulus,STG202212061912,Carbonates_TE_24smps_HB_ED_20221206.b,42,2022-12-06 19:12:49,1073-1098**,6,0.21582683585472684
2175,,1264,1264_A_21_H_2_2-3,1264_2_Elena,1264_2_Elena_Cibicidoides mundulus,STG202212061828,Carbonates_TE_24smps_HB_ED_20221206.b,34,2022-12-06 18:28:38,3920-3923**,7,0.24577834408128957
2175,,1264,1264_A_21_H_2_2-3,1264_2_Elena,1264_2_Elena_Cibicidoides mundulus,STG202212061934,Carbonates_TE_24smps_HB_ED_20221206.b,46,2022-12-06 19:34:55,2w-int-118-135-m.B,8,0.2704422822343279
2175,,1264,1264_A_21_H_2_2-3,1264_2_Elena,1264_2_Elena_Cibicidoides mundulus,STG202212061834,Carbonates_TE_24smps_HB_ED_20221206.b,35,2022-12-06 18:34:10,1133-1141**,9,0.30797139359084835
2175,,1264,1264_A_21_H_2_2-3,1264_2_Elena,1264_2_Elena_Cibicidoides mundulus,STG202212061738,Carbonates_TE_24smps_HB_ED_20221206.b,25,2022-12-06 17:38:54,1145-1150**,10,0.31482353459356327
