Site,Sample depth,Age,Mg/Ca,Mg/Ca adj,Species,Paleodepth,Reference
DSDP607,15.3,0.375,1.05,1.44,Cibicidoides wuellerstorfi,3423,SosdianRosenthal09
DSDP607,15.5,0.379,1.29,1.77,Cibicidoides wuellerstorfi,3423,SosdianRosenthal09
DSDP607,15.6,0.383,1.22,1.68,Cibicidoides wuellerstorfi,3423,SosdianRosenthal09
DSDP607,15.7,0.386,1.38,1.9,Cibicidoides wuellerstorfi,3423,SosdianRosenthal09
DSDP607,16,0.392,1.11,1.52,Cibicidoides wuellerstorfi,3423,SosdianRosenthal09
DSDP607,16.1,0.394,1.33,1.83,Cibicidoides wuellerstorfi,3423,SosdianRosenthal09
DSDP607,16.2,0.397,1.25,1.72,Cibicidoides wuellerstorfi,3423,SosdianRosenthal09
DSDP607,16.3,0.4,1.32,1.82,Cibicidoides wuellerstorfi,3423,SosdianRosenthal09
DSDP607,16.5,0.402,1.38,1.9,Cibicidoides wuellerstorfi,3423,SosdianRosenthal09
DSDP607,16.6,0.406,1.4,1.93,Cibicidoides wuellerstorfi,3423,SosdianRosenthal09
DSDP607,16.8,0.411,1.53,2.11,Cibicidoides wuellerstorfi,3423,SosdianRosenthal09
DSDP607,17.1,0.417,1.65,2.28,Cibicidoides wuellerstorfi,3423,SosdianRosenthal09
ODP0926,14.9,0.418,0.99,1.4,Cibicidoides wuellerstorfi,3604,LearRosenthalWright03
ODP0926,14.9,0.418,1.42,1.6,Oridorsalis umbonatus,3604,LearRosenthalWright03
ODP0926,14.9,0.418,,,Gyroidina soldanii,3604,LearRosenthalWright03
DSDP607,17.2,0.42,1.68,2.32,Cibicidoides wuellerstorfi,3423,SosdianRosenthal09
DSDP607,17.3,0.423,1.58,2.18,Cibicidoides wuellerstorfi,3423,SosdianRosenthal09
ODP1088,4.09,0.425,1.97,2.52,Cibicidoides wuellerstorfi,2083,BillupsScheiderich10
DSDP607,17.6,0.428,1.27,1.75,Cibicidoides wuellerstorfi,3423,SosdianRosenthal09
DSDP607,17.7,0.431,1.27,1.75,Cibicidoides wuellerstorfi,3423,SosdianRosenthal09
DSDP607,17.9,0.433,1.13,1.55,Cibicidoides wuellerstorfi,3423,SosdianRosenthal09
DSDP607,18.1,0.437,1.19,1.63,Cibicidoides wuellerstorfi,3423,SosdianRosenthal09
DSDP607,18.2,0.439,1.34,1.84,Cibicidoides wuellerstorfi,3423,SosdianRosenthal09
DSDP607,18.4,0.442,1.2,1.65,Cibicidoides wuellerstorfi,3423,SosdianRosenthal09
ODP0926,15.69,0.444,1.2,1.38,Oridorsalis umbonatus,3604,LearRosenthalWright03
ODP0926,15.69,0.444,,,Gyroidina soldanii,3604,LearRosenthalWright03
ODP0926,15.69,0.444,1.09,1.53,Cibicidoides wuellerstorfi,3604,LearRosenthalWright03
DSDP607,18.5,0.445,1.27,1.75,Cibicidoides wuellerstorfi,3423,SosdianRosenthal09
DSDP607,18.6,0.449,1.1,1.51,Cibicidoides wuellerstorfi,3423,SosdianRosenthal09
ODP0747,,0.45,1.39,1.67,Cibicidoides wuellerstorfi,1696,BillupsSchrag02
DSDP607,18.8,0.454,1.11,1.52,Cibicidoides wuellerstorfi,3423,SosdianRosenthal09
DSDP607,18.9,0.459,1.2,1.65,Cibicidoides wuellerstorfi,3423,SosdianRosenthal09
ODP0806,10.64,0.46,1.19,1.49,Cibicidoides wuellerstorfi,2527,LearRosenthalWright03
ODP0806,10.64,0.46,1.35,1.4,Oridorsalis umbonatus,2527,LearRosenthalWright03
DSDP607,19,0.462,1.22,1.68,Cibicidoides wuellerstorfi,3423,SosdianRosenthal09
DSDP607,19.1,0.466,1.25,1.72,Cibicidoides wuellerstorfi,3423,SosdianRosenthal09
DSDP607,19.2,0.466,1.14,1.56,Cibicidoides wuellerstorfi,3423,SosdianRosenthal09
