,core,sample_mix_id,sample_mix,sample_id,d13C,d18O,midpoint_depth_mbsf,midpoint_depth_mcd,depth_mcd,age_Ma,mix_age,species,source,TE_stnd,B11,B/Ca (error 1sd),Mg24,Mg/Ca (error 1sd),Al27,d11B,d11B_2SE,Li7,Na23,Mg25,Mn55,Sr88,Cd111,Ba138,Nd146,U238,weight_ug,num_of_specimens,B/Ca corrected,palaeo_depth_m,B11 corrected to C. mundulus,Depth-corrected B11,B11 corrected to STGFRM calibration standard,Notes,Mo92,K39,Fe56,Ni58,Cu63,Zn64,Rb85,P31,S32,Co59,Mg26,Depth-corrected B/Ca,rel_age_to_ETM2_kyr,lat,lon,ocean_basin,species_simple,B_omega_calibration,omega_linfit,omega_logfit,omega_linfit_0,omega_logfit_0,omega_linfit_3000,omega_logfit_3000,Ca_sw,Mg_sw,B11_for_omega,temp_c,pressure_bar,ksp_c,CO3,s_id_species
1649,1262,LDE_4_Barnet,True,1262_C_10_H_4_140_141_173.96,,,,188.88,,61.37162276,61.301484,Nuttallides truempyi,Barnet,,82.90637838277763,3.829286412,1.2856012889547468,0.035524952,199.91978693003236,14.48,0.44,8.701250313093635,2.3340901555086506,0.9533231703031516,68.07762513015716,0.7678545360779477,0.2082007725645404,5.0255894067477564,1.366039055613941,14.555255773620008,>190,22.0,,3268.581138,,,,,,,,,,,,,,,,,,-27.186,1.577,Atlantic,Nuttallides truempyi,Nuttallides umbonifera,0.798076853,0.8012149,1.541276603,1.547336919,0.840780535,0.844086493,23.13588594,46.52217931,91.1101438,11.96397382,328.1030163,8.39e-07,29.06062123,LDE_4_Barnet_Nuttallides truempyi
1658,1262,LDE_3_Barnet,True,1262_C_10_H_4_14_15_172.64,1.153563763,0.391986443,,187.565,,61.20199393,61.19852861,Nuttallides truempyi,Barnet,,89.24981148340888,3.593388906,1.04881782406513,0.020089081,35.853177875629704,14.8,0.39,7.6660585365642815,2.3753268754927137,0.7306968413960544,64.0697523804789,0.8229972635346745,0.2083761259512323,2.6997470934851364,0.8578153504317765,11.805055387070656,280,18.0,,3260.099697,,,,,,,,,,,,,,,,,,-27.186,1.577,Atlantic,Nuttallides truempyi,Nuttallides umbonifera,0.82420412,0.823137205,1.58912515,1.58706806,0.866882357,0.865760195,23.06378552,46.52765867,96.20606225,12.20663298,327.2516419,8.36e-07,29.82490991,LDE_3_Barnet_Nuttallides truempyi
1661,1262,LDE_2_Barnet,True,1262_C_10_H_3_122_123_172.22,1.32030723,0.440478017,,187.145,,61.15347942,61.14481612,Nuttallides truempyi,Barnet,,95.66386304756313,3.637356301,1.138038311691296,0.018559674,80.60181375370422,,,7.506093880902463,2.4953544189464067,0.9671426259735538,72.51680637400796,0.8217685873425685,0.2521623913803955,6.489986902070255,1.0740900926063657,13.07318545373504,180,15.0,,3257.673971,,,,,,,,,,,,,,,,,,-27.186,1.577,Atlantic,Nuttallides truempyi,Nuttallides umbonifera,0.837470134,0.834496744,1.613945361,1.608215139,0.88042201,0.877296121,23.04149654,46.53023897,98.79349426,12.27603445,327.0081454,8.35e-07,30.22952957,LDE_2_Barnet_Nuttallides truempyi
1665,1262,LDE_1_Barnet,True,1262_C_10_H_2_146_147_170.96,1.677862736,0.611398922,,185.88499,,61.0079359,61.00620324,Nuttallides truempyi,Barnet,,89.35145210561483,3.128148957,1.2821007438386758,0.021711255,496.1748645236431,,,8.064662580374396,2.659820707001398,1.0648348033118251,66.08859986620027,0.7860817937442558,0.2373706713144712,5.515815651079189,1.3085959942160943,14.525528339036692,510,11.0,,3250.396795,,,,,,,,,,,,,,,,,,-27.186,1.577,Atlantic,Nuttallides truempyi,Nuttallides umbonifera,0.808179309,0.809621354,1.555305443,1.558080595,0.848433396,0.849947267,22.97886436,46.55234522,93.08054856,12.48423886,326.2776562,8.32e-07,29.30806047,LDE_1_Barnet_Nuttallides truempyi
1667,1262,Nt(b),False,1262_C_13_H_7_72_73_202.92,,,,224.08,223.96-224.2,66.39323081,,Nuttallides truempyi,M. Staitis,STGTE,88.70404821962497,2.661813225,1.2605243384134373,0.030020139,82.63940514076224,,,8.353953157414889,3.699922971014827,1.0664498554460258,63.91357097021161,0.8221353439888915,0.1931707892664573,2.851337660023697,0.8174555603161425,12.681830120609996,,,,3500.0,,,,,,,,,,,,,,,,,,-27.186,1.577,Atlantic,Nuttallides truempyi,Nuttallides umbonifera,0.813222328,0.813850697,1.642210499,1.643479418,0.895840902,0.896533109,24.77798575,46.17415526,94.06414989,10.97922938,351.3330429,8.94e-07,29.3481072,Nt(b)_Nuttallides truempyi
1668,1262,MS_1,False,1262_C_13_H_7_39_42_202.59_202.62,,,,223.65,223.635-223.665,66.37034847,,Nuttallides truempyi,M. Staitis,STGTE,74.17538334574968,3.430832159,1.2924388657335015,0.034721185,80.17544956565985,,,7.096255574452493,2.4218237852418967,1.1102537115857585,55.2938931840234,0.8902652024913014,0.1776189815167305,2.464322605024387,1.2133436536671611,18.14409354108129,,,,3500.0,,,,,,,,,,,,,,,,,,-27.186,1.577,Atlantic,Nuttallides truempyi,Nuttallides umbonifera,0.725532223,0.743358808,1.465130252,1.501129022,0.799242002,0.818879661,24.77117686,46.16822665,76.96088278,10.97922938,351.3330429,8.93e-07,26.81010457,MS_1_Nuttallides truempyi
1669,1262,MS_2,False,1262_C_13_H_6_117_H_7_42_202.17_202.62,,,,223.44,223.215-223.665,66.3577237,,Nuttallides truempyi,M. Staitis,STGTE,83.11151641345698,3.450130333,1.3786982253640343,0.019865312,23.18571352537553,,,7.466193512982641,2.4295562746807198,1.198222958808448,52.52489405201332,0.9072045576915788,0.1978744290357159,1.769642509590158,1.609758101200723,15.98343570628067,,,,3500.0,,,,,,,,,,,,,,,,,,-27.186,1.577,Atlantic,Nuttallides truempyi,Nuttallides umbonifera,0.848661995,0.844202037,1.713776896,1.704770517,0.934881029,0.929967966,24.76742022,46.16495569,100.9763788,10.97922938,351.3330429,8.93e-07,30.44963545,MS_2_Nuttallides truempyi
1670,1262,MS_3,False,1262_C_13_H_6_99_118_201.99_202.17,,,,223.125,223.035-223.215,66.34127239,,Nuttallides truempyi,M. Staitis,STGTE,85.89119165119654,4.116052387,1.3022608540645335,0.033480896,19.86561270204995,,,7.927538000571576,2.530460974631313,1.1112679012249866,46.649327531841415,0.9057914772138632,0.1943978687922689,1.7540547407628808,2.1082337981152026,16.62573007506445,,,,3500.0,,,,,,,,,,,,,,,,,,-27.186,1.577,Atlantic,Nuttallides truempyi,Nuttallides umbonifera,0.78834427,0.793198785,1.591972075,1.601775219,0.86843538,0.873783086,24.76252495,46.1606933,89.21187976,10.97922938,351.3330429,8.93e-07,28.61305669,MS_3_Nuttallides truempyi
1671,1262,MS_4,False,1262_C_13_H_6_84_97_201.84_201.96,,,,222.945,222.885-223.005,66.33472834,,Nuttallides truempyi,M. Staitis,STGTE,89.17169009406548,3.182328572,1.20771121418195,0.023454595,12.246037276087678,,,7.819744525713785,2.673965024404224,1.0074528693326708,36.511387883670594,0.93381015980882,0.2114238354827964,1.5827450254773363,1.3811406024741075,15.343127700904228,,,,3500.0,,,,,,,,,,,,,,,,,,-27.186,1.577,Atlantic,Nuttallides truempyi,Nuttallides umbonifera,0.805163218,0.80710241,1.625936037,1.629852017,0.886963034,0.889099237,24.7605777,46.1589978,92.49228358,10.97922938,351.3330429,8.93e-07,29.11584275,MS_4_Nuttallides truempyi
1672,1262,MS_5,False,1262_C_13_H_6_66_82_201.66_201.81,,,,222.78,222.705-222.855,66.32873475,,Nuttallides truempyi,M. Staitis,STGTE,97.07622091648152,4.193667831,1.1355721837461488,0.020136699,32.18107579666705,,,9.034833864025057,2.9720469328891177,0.931816122955721,38.303891658381374,0.9309342632788729,0.1992022706444234,1.7351619506648823,1.2168798342174083,15.226350879105606,,,,3500.0,,,,,,,,,,,,,,,,,,-27.186,1.577,Atlantic,Nuttallides truempyi,Nuttallides umbonifera,0.848468536,0.844033319,1.713386228,1.70442981,0.934667915,0.929782108,24.75879424,46.15744491,100.9386461,10.97922938,351.3330429,8.93e-07,30.44929651,MS_5_Nuttallides truempyi
